[2021-04-26 17:09:34,977][MainThread:14012][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 17:09:35,046][MainThread:14012][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 17:09:35,047][MainThread:14012][task_id:Sources_Login_libs][Login_libs.py:33][WARNING][请求异常]
[2021-04-26 17:09:35,081][MainThread:14012][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /refresh HTTP/1.1" 200 None]
[2021-04-26 17:10:32,968][MainThread:7672][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 17:10:33,037][MainThread:7672][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 17:10:33,073][MainThread:7672][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /refresh HTTP/1.1" 200 None]
[2021-04-26 17:14:59,420][MainThread:12332][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 17:14:59,503][MainThread:12332][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 17:14:59,543][MainThread:12332][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /refresh HTTP/1.1" 200 None]
[2021-04-27 10:05:30,073][MainThread:1124][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-27 10:05:30,172][MainThread:1124][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-27 10:05:30,206][MainThread:1124][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /refresh HTTP/1.1" 200 None]
[2021-04-27 10:17:21,303][MainThread:11804][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-27 10:17:21,382][MainThread:11804][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-27 10:17:21,421][MainThread:11804][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /refresh HTTP/1.1" 200 None]
[2021-04-27 10:22:46,886][MainThread:12452][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
